industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std
IT设备,002152.SZ,300857.SZ,835,1.3221330371383693,0.34754541501582314,-4.595878316478364,0.00013144811366894477,-3.43821515743291,-2.8650117437698652,-2.568618642812369,-4.597635028350732,0.000842573334176255,-3.9096199763067245,-3.3434660684114577,-3.04953928224327,0.09984024665498346
IT设备,000977.SZ,000997.SZ,964,-0.04660217468953576,1.291418576000754,-4.093815637224646,0.0009915742034334683,-3.4371658366910216,-2.8645490899304784,-2.5683722036989813,-4.096279974426937,0.005209890047755566,-3.9078488423270565,-3.3424822171864705,-3.0488570867152123,0.1344601724189595
IT设备,000997.SZ,603019.SH,970,1.2448846045498563,0.4192929956362468,-3.816672941359804,0.0027412621747421786,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-3.8187070552012354,0.01279701208375514,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.09152766578891536
IT设备,002152.SZ,688475.SH,245,1.187126320022307,0.36110345375195807,-3.7350079773156697,0.0036468310069522085,-3.457437824930831,-2.873459364726563,-2.573122099570008,-3.743142672135901,0.016112062081870625,-3.9418879743348563,-3.361285996371943,-3.0618776538564902,0.04035923846409994
IT设备,002152.SZ,002180.SZ,961,3.005110971198027,-0.18752142902607116,-3.612841204430014,0.005520224074091661,-3.4371943720994165,-2.8645616735407002,-2.568378906211183,-3.6144523132823325,0.023510538817550802,-3.9078846082899306,-3.3425020909288192,-3.0488708680555554,0.12684957216595144
IT设备,002152.SZ,603019.SH,970,0.8245442490706552,0.43522817711761075,-3.5910794524989833,0.005933877503964537,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-3.5929648867246464,0.02499692868018484,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.09960665128076748
IT设备,000997.SZ,300857.SZ,835,1.815679221232787,0.29966280665515566,-3.401391247861606,0.010911535399161346,-3.4382246287341967,-2.8650159190118694,-2.568620866925402,-3.40280107804909,0.04204030750308027,-3.9096199763067245,-3.3434660684114577,-3.04953928224327,0.10944496200825711
IT设备,000977.SZ,603019.SH,964,0.6024973662567081,0.8181109360026193,-3.2119744381895843,0.01930193070361338,-3.4371943720994165,-2.8645616735407002,-2.568378906211183,-3.2138171007613217,0.06764736320607036,-3.9078488423270565,-3.3424822171864705,-3.0488570867152123,0.12084743672069335
IT设备,300857.SZ,603019.SH,835,0.7746338684770508,0.619236723443525,-3.199593922022898,0.020008196642131788,-3.43821515743291,-2.8650117437698652,-2.568618642812369,-3.2023112285109603,0.06954213804376241,-3.9096199763067245,-3.3434660684114577,-3.04953928224327,0.2104986817873714
IT设备,000997.SZ,002152.SZ,970,1.239423437513362,0.6251020950748858,-3.1477118391542622,0.023217936622611696,-3.4371445907959832,-2.864539720789528,-2.5683672133480093,-3.148091639291065,0.0790460148398483,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.09595553631742207
IT设备,002152.SZ,002236.SZ,970,1.364843214342144,0.3396155577299318,-3.1255383287216487,0.024720063324355487,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-3.127374947659833,0.08293583368158519,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.11746715399545929
IT设备,000938.SZ,000977.SZ,964,0.5305560206506819,0.7587572315852453,-3.0323792119670605,0.03197924693157573,-3.4371587399783072,-2.8645459603872903,-2.568370536787406,-3.0345495282896766,0.10221970272172615,-3.9078488423270565,-3.3424822171864705,-3.0488570867152123,0.11303995573961728
IT设备,000997.SZ,002180.SZ,961,3.113315756691753,-0.11578852192209732,-2.936534065784538,0.04126155043514546,-3.437180074590612,-2.8645553686071326,-2.5683755479600694,-2.9383712982717074,0.12559096587514057,-3.9078846082899306,-3.3425020909288192,-3.0488708680555554,0.12552225607097647
IT设备,000977.SZ,300857.SZ,835,2.2648708682808616,0.3916781925054065,-2.912624941241498,0.0438994625791906,-3.4382246287341967,-2.8650159190118694,-2.568620866925402,-2.9136774627763518,0.13217601032270226,-3.9096199763067245,-3.3434660684114577,-3.04953928224327,0.18445135059628626
IT设备,000066.SZ,002415.SZ,970,1.1052128485971853,0.40405559526126733,-2.8764562458213847,0.04815511530321326,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-2.878219677467943,0.1420605693675666,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.15973773548353745
IT设备,000066.SZ,002180.SZ,961,3.4024900555205546,-0.23456277021160155,-2.80164448943756,0.05803924814808116,-3.43718721587049,-2.8645585177815187,-2.568377225331392,-2.8041676349352365,0.16436223160673757,-3.9078846082899306,-3.3425020909288192,-3.0488708680555554,0.17510013284755055
IT设备,002152.SZ,002415.SZ,970,2.0566165756355295,0.07641658992113343,-2.798621970753653,0.058470879510775474,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-2.8002892397720274,0.16559266690500224,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.13550907373133927
IT设备,000977.SZ,002236.SZ,964,1.9360036172540962,0.5266406003669868,-2.715121125877234,0.0714580052763695,-3.437180074590612,-2.8645553686071326,-2.5683755479600694,-2.7163601359567675,0.19374984258709899,-3.9078488423270565,-3.3424822171864705,-3.0488570867152123,0.18423268796752035
IT设备,000977.SZ,002152.SZ,964,1.2109072304999131,0.9535773639113749,-2.705346506432183,0.07311765066292016,-3.4371587399783072,-2.8645459603872903,-2.568370536787406,-2.706786188956881,0.19714745069180412,-3.9078488423270565,-3.3424822171864705,-3.0488570867152123,0.170282330641353
IT设备,000066.SZ,002236.SZ,970,1.0633099995645878,0.5260766482845871,-2.668848013615307,0.07958578375268477,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-2.670723515843644,0.21028444817796077,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1506592372735895
IT设备,000066.SZ,000938.SZ,970,0.9965220887220569,0.49854621224521756,-2.644349847772492,0.08417303018435984,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-2.6459020463630623,0.21963562439760959,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.1570712971432809
IT设备,000938.SZ,300857.SZ,835,2.3121735593112724,0.27356079782899,-2.6114052087897894,0.09066287954325836,-3.43821515743291,-2.8650117437698652,-2.568618642812369,-2.6137335565361393,0.23133327115105135,-3.9096199763067245,-3.3434660684114577,-3.04953928224327,0.1784169104570665
IT设备,000977.SZ,002180.SZ,955,4.269004794029137,-0.231942785031642,-2.608239209587258,0.09130631919081234,-3.43722314744835,-2.8645743628401763,-2.5683856650361054,-2.6095800282657873,0.23298766149917471,-3.907956817196929,-3.342542213827688,-3.0488986909361,0.20617357722213345
IT设备,000997.SZ,688475.SH,245,1.162506586681468,0.4833492856881616,-2.582612053941484,0.09664451803646534,-3.457437824930831,-2.873459364726563,-2.573122099570008,-2.589924200442079,0.24091091956781335,-3.9418879743348563,-3.361285996371943,-3.0618776538564902,0.06480468833409996
IT设备,000997.SZ,002236.SZ,970,1.859860969941077,0.2940131923447249,-2.5818111420073357,0.09681510689599859,-3.4371445907959832,-2.864539720789528,-2.5683672133480093,-2.583974589542286,0.24333959211445694,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.11334828128275172
IT设备,002236.SZ,300857.SZ,835,1.323973250138339,0.5261725245429352,-2.532228256122929,0.10782843511436208,-3.43821515743291,-2.8650117437698652,-2.568618642812369,-2.534938120716365,0.2638814490394181,-3.9096199763067245,-3.3434660684114577,-3.04953928224327,0.17120129304651674
IT设备,000066.SZ,300857.SZ,835,1.4515062374358467,0.37827632177955994,-2.4969466005844914,0.11621901854632732,-3.43821515743291,-2.8650117437698652,-2.568618642812369,-2.500654897923341,0.2787802697437963,-3.9096199763067245,-3.3434660684114577,-3.04953928224327,0.1689354697962139
IT设备,002236.SZ,688475.SH,245,-0.7006004527746766,1.046889940907241,-2.4675474269552296,0.1235713463010753,-3.457437824930831,-2.873459364726563,-2.573122099570008,-2.4728638640582634,0.2911662212497704,-3.9418879743348563,-3.361285996371943,-3.0618776538564902,0.11198850125739024
IT设备,002180.SZ,002236.SZ,961,5.548635081586861,-0.6863963681420167,-2.4665919260879523,0.12381587671422417,-3.43718721587049,-2.8645585177815187,-2.568377225331392,-2.4690813745675357,0.29287263706253364,-3.9078846082899306,-3.3425020909288192,-3.0488708680555554,0.21040534894061277
IT设备,000066.SZ,000977.SZ,964,1.496829820650719,0.3098338209264426,-2.4484937007800274,0.12851438010033783,-3.4371658366910216,-2.8645490899304784,-2.5683722036989813,-2.45037790771986,0.3013809888121921,-3.9078488423270565,-3.3424822171864705,-3.0488570867152123,0.17386666868220696
IT设备,002180.SZ,300857.SZ,829,5.280501488941391,-0.5741539909097357,-2.449047939302171,0.12836860320436594,-3.438272329479064,-2.8650369467745573,-2.568632068251301,-2.4503733497546856,0.30138307637244943,-3.909715835200355,-3.343519299925319,-3.0495761896426985,0.2223008264658915
IT设备,000997.SZ,002415.SZ,970,2.825778090503566,-0.03567726150274719,-2.4065193589778815,0.13990481615356293,-3.4371445907959832,-2.864539720789528,-2.5683672133480093,-2.4083818715453256,0.32089546151413606,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.12820969975244864
IT设备,000977.SZ,002415.SZ,964,3.7363455929544394,-0.08324868024989929,-2.3776970373360222,0.14813044631439615,-3.4371587399783072,-2.8645459603872903,-2.568370536787406,-2.378938862592239,0.33489381714067135,-3.9078488423270565,-3.3424822171864705,-3.0488570867152123,0.21298161794051493
IT设备,000938.SZ,000997.SZ,970,0.5799257405866882,0.9488507696609458,-2.374318755339972,0.14911631255734648,-3.437137538234527,-2.8645366106945414,-2.568365556798649,-2.3778566243731594,0.3354130463498124,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.15599657453590013
IT设备,000066.SZ,603019.SH,970,1.6128757276337975,0.2738866518247649,-2.3422683465910894,0.15869761476575794,-3.437123476942836,-2.8645304098119544,-2.568362253987091,-2.3442836144201413,0.3516762203066699,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.17591129329673572
IT设备,000066.SZ,002152.SZ,970,1.2913340167002865,0.5446735532626521,-2.330475113611784,0.16232740503786652,-3.437116468121892,-2.864527318984441,-2.5683606077036214,-2.3324750418140816,0.3574648808389322,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.16991635517861042
IT设备,000938.SZ,002152.SZ,970,1.3197922719785957,0.7801583970456596,-2.301890501162306,0.17135897221388313,-3.437137538234527,-2.8645366106945414,-2.568365556798649,-2.3046795039810704,0.3712200895894573,-3.907777976870179,-3.3424428392979046,-3.0488297802038633,0.16681263548194059
