industry,y,x,n_obs,alpha,beta,eg_adf_stat,eg_adf_pvalue,eg_adf_cv_1%,eg_adf_cv_5%,eg_adf_cv_10%,coint_tstat,coint_pvalue,coint_cv_1%,coint_cv_5%,coint_cv_10%,resid_std,hl_days,rho,kappa,n_hl,score
银行,601825.SH,601997.SH,574,0.1521556851237537,0.913524175840804,-10.6116033498854,5.814735335463964e-19,-3.4418139386911513,-2.866597262008035,-2.5694633721967906,-10.595562570332476,8.094014567247058e-18,-3.915655377563359,-3.346814131770267,-3.0518600295739944,0.0426995262236808,7.188074629899623,0.9080733159952752,-0.0919266840047248,573,2.0874059886932663
证券,601162.SH,601456.SH,821,-1.3130385303210483,1.0615036002745537,-11.199016266342838,2.2683298621541183e-20,-3.4383498644698274,-2.865071125564052,-2.568650275133849,-11.178157755285785,3.1083588564730107e-19,-3.909845837299226,-3.343591488697204,-3.049626240333135,0.1589575265143794,10.98635535492843,0.9388574325444622,-0.0611425674555377,820,1.5440447325438245
半导体,301269.SZ,688126.SH,347,2.4586015061384217,0.7313902352324213,-5.682733300331902,8.413486430315984e-07,-3.4494474563375737,-2.8699542285903887,-2.5712527305187987,-5.6831339714015074,7.585561714631741e-06,-3.9283729446356377,-3.353846241772194,-3.056730523906579,0.0713742905979805,5.6659129425135095,0.8848506877062154,-0.1151493122937845,346,0.7680886771426516
半导体,603893.SH,688099.SH,950,1.1905428678329044,0.7285235633293269,-8.875057768669832,1.3650577862542067e-14,-3.43725945868569,-2.8645903751292536,-2.568394193843889,-8.865603115015528,1.9194790489877892e-13,-3.90801769100856,-3.342576037590453,-3.0489221456005486,0.2368657987424168,17.247058355147242,0.960607580138884,-0.039392419861116,949,0.6969242042367202
新型电力,003035.SZ,601985.SH,716,3.129141679671098,-0.6559809386732378,-7.449232982184801,5.7289183096859305e-11,-3.43952892629489,-2.8655907692307694,-2.5689271030368235,-7.443204527550807,7.287891578715105e-10,-3.911822924348379,-3.3446889407795,-3.0503870688053203,0.2144245904493322,14.93391993570701,0.9546463868475296,-0.0453536131524703,715,0.573455755634193
新型电力,600032.SH,601016.SH,629,1.332468116670987,0.851282104639135,-5.135582738885193,1.1884214192025682e-05,-3.440890045708521,-2.8661904001753618,-2.569246579178572,-5.126692902312033,9.565104324961467e-05,-3.9139643422654062,-3.345876758996308,-3.051210400016228,0.1026435782965128,7.982536353712172,0.9168302392772592,-0.0831697607227407,628,0.4474582824453552
全国地产,600208.SH,600606.SH,965,0.5491042626402076,0.3742184922198586,-5.562483889624719,1.5306617471598652e-06,-3.437151658028634,-2.8645428373470563,-2.5683688733406793,-5.565703887525183,1.3200818691230252e-05,-3.90783696996436,-3.342475620125342,-3.048852512009091,0.0427519224172807,11.460371983979195,0.941310633425302,-0.0586893665746981,964,0.39159337619000395
新型电力,000591.SZ,600905.SH,623,-0.2200827322990539,1.2568746563686446,-5.661760844054488,9.344993602254288e-07,-3.4411869900487906,-2.866321181236609,-2.569316262893616,-5.599910502168741,1.1244748976564206e-05,-3.914134215320354,-3.345970947674238,-3.0512756800488,0.0928809337752918,12.243171669405314,0.9449578068251976,-0.0550421931748025,622,0.3737058129795244
医疗保健,688114.SH,688271.SH,317,0.5166085554763384,0.8062308998216032,-4.24829204648309,0.0005452754152095,-3.4512146067362317,-2.870730188960711,-2.5716664849383113,-4.254931404076645,0.0030069854574738,-3.931433664877423,-3.3555340878865563,-3.057898758211825,0.0669131119334007,6.089728717415401,0.8924164873436776,-0.1075835126563223,316,0.3557073581751108
化学制药,002653.SZ,301301.SZ,246,1.4845270935260138,0.7648273530320155,-4.208271008267419,0.0006379776527237,-3.4573260719088132,-2.873410402808354,-2.573095980841316,-4.215140514408482,0.0034597161029946,-3.941700183256976,-3.3611828529779255,-3.0618063348604747,0.0639707780985955,6.0799998160821085,0.8922539639868575,-0.1077460360131425,245,0.34759316397779916
